season,team,PTS40,OP_PTS40,PTS,OP_PTS,3P%,OP_3P%,2P%,OP_2P%,FT%,3PR,OP_3PR,FTR,OP_FTR,OREB%,DREB%,ASTR,OP_ASTR,TOVR,OP_TOVR,PFR,PFDR,AST-TOV_R,OP_AST-TOV_R,STLR,OP_STLR,BLKR,OP_BLKR,PACE,ORtg,DRtg,NETRtg,eFG%,OP_eFG%,TS%,OP_TS%,home_win_pct,away_win_pct,win_pct,home_win_advantage,home_ORtg,home_DRtg,home_NETRtg,away_ORtg,away_DRtg,away_NETRtg,home_NETRtg_advantage,home_ORtg_advantage,home_DRtg_advantage
2016,EFS,82.65573770491804,82.36065573770492,2521.0,2512.0,34.83309143686502,39.78159126365055,50.259067357512954,54.14673046251993,74.83108108108108,33.77450980392157,33.82585751978892,29.019607843137255,26.75461741424802,32.98701298701299,69.11468812877264,60.391730141458105,62.74089935760171,15.73735027351958,18.884820328223494,25.135429873480568,27.79526372252613,1.5633802816901408,1.375586854460094,9.398079599960989,7.84650985468441,7.894736842105263,5.5514433752775725,73.96000000000001,111.75735222406439,111.35837714670755,0.39897507735683746,50.931372549019606,56.01583113456464,54.79291278341911,59.29898776250189,73,40,56,33,114.63545389563974,109.9892780557541,113.5355611150822,108.92326101110348,112.70654067465553,107.79619560435692,5.739365510725278,5.712192884536265,2.7172626189014295
2016,CSK,86.59282526037362,78.9090909090909,2619.0,2387.0,40.577507598784194,35.90504451038576,55.50737207285343,51.48430873621713,81.63884673748103,36.33351739370514,36.373448461953586,36.38873550524572,32.70372369131139,30.439442658092176,69.86434108527132,67.47519294377068,63.839811542991754,19.332239613355206,19.908659601826805,29.48609941027801,29.79647940407041,1.4036697247706422,1.2071269487750558,9.400079811998403,9.533099809338003,8.396946564885496,8.239375542064181,74.56769714002314,116.12645767747084,105.83957788320843,10.286879794262404,57.454445057979015,52.34754452239611,62.32864976010966,56.306731331735584,93,53,73,40,122.60611341287765,106.15786759606665,121.54453473691697,109.68015850551939,105.52292669119728,108.62492923860742,12.91960549830955,12.92595490735826,-0.6349409048693673
2016,MTA,77.70954356846472,83.28630705394191,2341.0,2509.0,39.22829581993569,34.94897959183673,51.90713101160863,53.59477124183007,72.5609756097561,34.02625820568928,39.04382470119522,26.914660831509845,24.701195219123505,26.156941649899398,69.0497737556561,60.57471264367816,64.19354838709677,19.214597668930224,14.919569954698762,27.397755734992273,25.18242565080973,1.24,1.809090909090909,7.369363341260298,9.494271789353759,4.330065359477124,6.218905472636816,73.42273858921162,105.83852504227212,113.43394247375514,-7.595417431483014,54.266958424507656,53.13745019920319,57.25172170918766,56.350618082506834,40,26,33,14,107.36733452527972,112.89698265533704,106.23836469872634,104.36634717784878,113.95101171459,103.22683706070288,3.011527638023466,3.000987347430936,1.0540290592529544
2016,OLY,77.60995850622406,73.9253112033195,2338.0,2227.0,33.47639484978541,36.952714535901926,52.16262975778547,46.67697063369397,74.01032702237522,37.681940700808624,30.61662198391421,31.32075471698113,26.916890080428953,33.113207547169814,71.38836772983115,54.48028673835125,53.86503067484663,17.912452886517148,16.932865619285742,27.521737507929995,29.900735156920554,1.1875,1.209366391184573,8.769638392357354,9.09616748143449,7.727975270479135,7.612456747404845,71.16215767634854,109.06071575176327,103.8828973392544,5.17781841250887,51.42857142857143,49.35656836461126,55.38604404351287,53.38274493259439,73,53,63,20,108.02326654971841,96.9439571600037,107.05382697811838,110.12011389135068,110.96864216619842,109.0104274696887,-1.9566004915703132,-2.0968473416322695,14.024685006194716
2016,RMD,86.16666666666667,78.43333333333334,2585.0,2353.0,37.515683814303635,35.60830860534124,56.96539485359361,50.452674897119344,77.39463601532567,41.42411642411643,35.68025410269984,27.13097713097713,29.168872419269455,33.83838383838384,70.9647495361781,65.67481402763018,55.92028135990621,16.913821792316554,16.822395728574303,28.387792791969137,27.976375505129003,1.6702702702702703,1.296195652173913,9.599736692936423,8.365484832416026,7.242798353909465,5.057675244010648,72.91866666666667,118.16818738686025,107.56276399275906,10.605423394101194,56.67879417879418,51.50873478030704,60.01355818877457,55.1974252148782,93,60,76,33,120.34105626708877,104.69132249244494,119.29414304216432,115.92235897817275,110.530621351281,114.81705276465995,4.477090277504374,4.418697288916022,5.8392988588360595
2016,ZAL,78.33333333333333,79.7,2350.0,2391.0,38.93249607535322,37.09449929478138,51.95822454308094,53.504442250740375,79.38342967244701,35.66629339305711,41.17305458768873,29.059350503919372,38.3855981416957,34.332988624612206,72.18124341412013,67.57396449704142,65.83850931677019,19.540394629974674,16.530504992594715,33.395442167120535,29.90779226983899,1.3960880195599021,1.5317919075144508,7.070851846543404,10.654053795805263,5.429417571569595,8.181026979982594,69.77000000000001,112.2736610768716,114.2324781424681,-1.9588170655964916,54.255319148936174,54.38443670150987,58.33118211243273,59.39369249418732,40,53,46,-13,108.17997474844091,112.2929180854727,107.05704556758617,116.35898512819536,116.16807621083981,115.19730436608695,-8.140258798500781,-8.179010379754445,3.8751581253671077
2016,MIL,80.39834024896265,87.00414937759336,2422.0,2621.0,34.98349834983498,38.83116883116883,52.4551831644583,56.860986547085204,75.34246575342466,32.08046585494971,40.84880636604775,30.915828480677607,31.087533156498672,32.53358925143954,67.75510204081633,59.09604519774011,60.98606645230439,19.048470756573064,18.467179395456984,29.51171525666249,27.94670005365766,1.227699530516432,1.3777239709443099,9.434805938114827,10.194956179574316,4.125560538116592,6.235385814497272,74.23734439834026,108.29905204793418,117.19728134501878,-8.898229297084598,52.46161990471149,57.42705570291777,56.431620347070776,61.157155923914054,40,13,26,27,110.21577580804012,114.69245232339513,109.06885128480617,106.38677981241628,119.69629298794106,105.18981688253689,3.8790344022692835,3.828995995623842,5.003840664545933
2016,PAO,75.95102040816326,72.9469387755102,2326.0,2234.0,35.984848484848484,37.067545304777596,50.920810313075506,48.326530612244895,71.42857142857143,42.17252396166134,33.133187772925766,27.209797657082003,27.183406113537117,27.458256029684602,69.96124031007751,54.77326968973747,57.64993880048959,15.646245832324402,19.138711419896815,27.800026077076392,27.054966751727612,1.3660714285714286,1.145985401459854,10.430830554882935,7.07806359081342,7.918367346938775,5.801104972375691,70.12179591836733,108.31299942257904,104.02890830182355,4.284091120755491,52.209797657082,50.73689956331878,55.30615738715261,54.45805218612271,93,33,63,60,111.58283341024458,100.41532071988925,110.57868020304568,104.9831763754958,107.7087915186376,103.9060884603094,6.672591742736273,6.599657034748773,7.293470798748345
2016,BAS,81.5,79.2,2445.0,2376.0,34.801762114537446,37.78990450204638,53.25824617860016,49.01610017889087,76.06679035250464,35.395010395010395,39.60021609940573,28.014553014553016,32.95515937331172,31.749049429657795,70.58823529411765,59.95550611790879,63.27272727272727,17.948764436064327,17.67681345976032,28.690828000072525,27.648349257573837,1.3611111111111112,1.3384615384615384,9.019707380749498,8.38515510270682,8.228980322003578,6.757843925985519,73.54266666666665,110.82002284388203,107.69258661638597,3.1274362274960623,52.88461538461539,52.052944354403024,56.56684373206982,56.05360007549306,66,46,56,20,109.92634934593823,101.95668901835771,108.90678245575465,111.69525586736522,113.31012703653194,110.5621545969999,-1.6553721412452518,-1.7689065214269846,11.35343801817423
2016,FNR,75.5702479338843,74.19408166639114,2286.0,2244.0,38.297872340425535,35.69277108433735,51.59525979945305,51.97195442594216,75.66539923954373,37.49287749287749,36.78670360110803,29.97150997150997,26.26038781163435,28.29015544041451,70.57057057057057,62.836185819070906,61.204819277108435,17.81800857551215,18.627918056217247,27.82277274892806,29.728442115292996,1.374331550802139,1.29923273657289,9.623630300142926,9.718913768461173,8.413672217353199,7.110300820419326,69.38842975206612,108.90900428775608,106.90805145307289,2.00095283468319,53.78917378917379,52.54847645429363,57.5401220273454,55.72220346053756,73,46,60,27,110.66974772262856,104.74953688673298,109.62225235376121,107.1557609295073,109.0573715937399,106.0651872135699,3.5570651401913125,3.513986793121262,4.3078347070069185
